colors
Ebony
Ecru
Eerieblack
Eggplant
Eggshell
Egyptianblue
Eigengrau
Electricblue
Electricgreen
Electricindigo
Electriclime
Electricpurple
Electricviolet
Emerald
Eminence
Englishgreen
Englishlavender
Englishred
Englishvermillion
Englishviolet
Erin
Etonblue
Fallow
Falured
Fandango
Fandangopink
Fashionfuchsia
Fawn
Feijoa
Feldgrau
Ferngreen
Fielddrab
Fieryrose
Finn
Firebrick
Fireenginered
Fireopal
Flame
Flax
Flirt
Floralwhite
Fluorescentblue
ForestgreenCrayola
Forestgreentraditional
Forestgreenweb
Frenchbeige
Frenchbistre
Frenchblue
Frenchfuchsia
Frenchlilac
Frenchlime
Frenchmauve
Frenchpink
Frenchraspberry
Frenchrose
Frenchskyblue
Frenchviolet
Frostbite
Fuchsia
FuchsiaCrayola
Fuchsiapurple
Fuchsiarose
Fulvous
FuzzyWuzzy
Gainsboro
Gamboge
Genericviridian
Ghostwhite
Glaucous
Glossygrape
GOgreen
Gold
Goldmetallic
GoldwebGolden
GoldCrayola
GoldFusion
Goldenbrown
Goldenpoppy
Goldenyellow
Goldenrod
Gothamgreen
Granitegray
GrannySmithapple
Grayweb
GrayX11gray
Green
GreenCrayola
Greenweb
GreenMunsell
GreenNCS
GreenPantone
Greenpigment
GreenRYB
Greenblue
GreenblueCrayola
Greencyan
GreenLizard
GreenSheen
Greenyellow
GreenyellowCrayola
Grenadier
Grullo
Gunmetal
Hanblue
Hanpurple
Hansayellow
Harlequin
Harvestgold
HeatWave
Heliotrope
Heliotropegray
Hollywoodcerise
Honeydew
Honolulublue
Hookersgreen
Hotmagenta
Hotpink
Huntergreen
Iceberg
Icterine
Illuminatingemerald
Imperialred
Inchworm
Independence
Indiagreen
Indianred
Indianyellow
Indigo
Indigodye
Infrared
InternationalKleinBlue
Internationalorangeaerospace
Internationalorangeengineering
InternationalorangeGoldenGateBridge
Iris
Irresistible
Isabelline
Italianskyblue
Ivory
Jade
Japanesecarmine
Japaneseviolet
Jasmine
Jazzberryjam
Jet
Jonquil
Junebud
Junglegreen
Kellygreen
Keppel
Keylime
Khakiweb
KhakiX11Lightkhaki
Kobe
Kobi
Kobicha
Kombugreen
KSUpurple
Languidlavender
Lapislazuli
Laserlemon
Laurelgreen
Lava
Lavenderfloral
Lavenderweb
Lavenderblue
Lavenderblush
Lavendergray
Lawngreen
Lemon
Lemonchiffon
Lemoncurry
Lemonglacier
Lemonmeringue
Lemonyellow
LemonyellowCrayola
Liberty
Lightblue
Lightcoral
Lightcornflowerblue
Lightcyan
LightFrenchbeige
Lightgoldenrodyellow
Lightgray
Lightgreen
Lightorange
Lightperiwinkle
Lightpink
Lightsalmon
Lightseagreen
Lightskyblue
Lightslategray
Lightsteelblue
Lightyellow
Lilac
LilacLuster
Limecolorwheel
LimewebX11green
Limegreen
Lincolngreen
Linen
Lion
Liseranpurple
Littleboyblue
Liver
Liverdogs
Liverorgan
Liverchestnut
Livid
MacaroniandCheese
MadderLake
Magenta
MagentaCrayola
Magentadye
MagentaPantone
Magentaprocess
Magentahaze
Magicmint
Magnolia
Mahogany
Maize
MaizeCrayola
Majorelleblue
Malachite
Manatee
Mandarin
Mango
MangoTango
Mantis
MardiGras
Marigold
MaroonCrayola
Maroonweb
MaroonX11
Mauve
Mauvetaupe
Mauvelous
Maximumblue
Maximumbluegreen
Maximumbluepurple
Maximumgreen
Maximumgreenyellow
Maximumpurple
Maximumred
Maximumredpurple
Maximumyellow
Maximumyellowred
Maygreen
Mayablue
Mediumaquamarine
Mediumblue
Mediumcandyapplered
Mediumcarmine
Mediumchampagne
Mediumorchid
Mediumpurple
Mediumseagreen
Mediumslateblue
Mediumspringgreen
Mediumturquoise
Mediumvioletred
Mellowapricot
Mellowyellow
Melon
Metallicgold
MetallicSeaweed
MetallicSunburst
Mexicanpink
Middleblue
Middlebluegreen
Middlebluepurple
Middlegrey
Middlegreen
Middlegreenyellow
Middlepurple
Middlered
Middleredpurple
Middleyellow
Middleyellowred
Midnight
Midnightblue
Midnightgreeneaglegreen
Mikadoyellow
Mimipink
Mindaro
Ming
Minionyellow
Mint
Mintcream
Mintgreen
Mistymoss
Mistyrose
Modebeige
MonaLisa
Morningblue
Mossgreen
MountainMeadow
Mountbattenpink
MSUgreen
Mulberry
MulberryCrayola
Mustard
Myrtlegreen
Mystic
Mysticmaroon
Nadeshikopink
Naplesyellow
Navajowhite
Navyblue
NavyblueCrayola
Neonblue
NeonCarrot
Neongreen
Neonfuchsia
NewYorkpink
Nickel
Nonphotoblue
Nyanza
OceanBlue
Oceangreen
Ochre
Oldburgundy
Oldgold
Oldlace
Oldlavender
Oldmauve
Oldrose
Oldsilver
Olive
OliveDrab#3
OliveDrab#7
Olivegreen
Olivine
Onyx
Opal
Operamauve
Orange
OrangeCrayola
OrangePantone
Orangeweb
Orangepeel
Orangered
OrangeredCrayola
Orangesoda
Orangeyellow
OrangeyellowCrayola
Orchid
Orchidpink
OrchidCrayola
OuterspaceCrayola
OutrageousOrange
Oxblood
Oxfordblue
OUCrimsonred
Pacificblue
Pakistangreen
Palatinatepurple
Paleaqua
Palecerulean
PaleDogwood
Palepink
PalepurplePantone
Palesilver
Palespringbud
Pansypurple
PaoloVeronesegreen
Papayawhip
Paradisepink
Parchment
ParisGreen
Pastelpink
Patriarch
Paua
Paynesgrey
Peach
PeachCrayola
Peachpuff
Pear
Pearlypurple
Periwinkle
PeriwinkleCrayola
PermanentGeraniumLake
Persianblue
Persiangreen
Persianindigo
Persianorange
Persianpink
Persianplum
Persianred
Persianrose
Persimmon
PewterBlue
Phlox
Phthaloblue
Phthalogreen
Picoteeblue
Pictorialcarmine
Piggypink
Pinegreen
Pinetree
Pink
PinkPantone
Pinkflamingo
Pinklace
Pinklavender
PinkSherbet
Pistachio
Platinum
Plum
Plumweb
PlumpPurple
PolishedPine
PompandPower
Popstar
PortlandOrange
Powderblue
Princetonorange
Processyellow
Prune
Prussianblue
Psychedelicpurple
Puce
PullmanBrownUPSBrown
Pumpkin
Purple
Purpleweb
PurpleMunsell
PurpleX11
Purplemountainmajesty
Purplenavy
Purplepizzazz
PurplePlum
Purpureus
Queenblue
Queenpink
QuickSilver
Quinacridonemagenta
RadicalRed
Raisinblack
Rajah
Raspberry
Raspberryglace
Raspberryrose
Rawsienna
Rawumber
Razzledazzlerose
Razzmatazz
RazzmicBerry
RebeccaPurple
Red
RedCrayola
RedMunsell
RedNCS
RedPantone
Redpigment
RedRYB
Redorange
RedorangeCrayola
RedorangeColorwheel
Redpurple
RedSalsa
Redviolet
RedvioletCrayola
RedvioletColorwheel
Redwood
Resolutionblue
Rhythm
Richblack
RichblackFOGRA29
RichblackFOGRA39
Riflegreen
Robineggblue
Rocketmetallic
RojoSpanishred
Romansilver
Rose
Rosebonbon
RoseDust
Roseebony
Rosemadder
Rosepink
RosePompadour
Rosequartz
Rosered
Rosetaupe
Rosevale
Rosewood
Rossocorsa
Rosybrown
Royalbluedark
Royalbluelight
Royalpurple
Royalyellow
Ruber
Rubinered
Ruby
Rubyred
Rufous
Russet
Russiangreen
Russianviolet
Rust
Rustyred
SacramentoStategreen
Saddlebrown
Safetyorange
Safetyorangeblazeorange
Safetyyellow
Saffron
Sage
St.Patricksblue
Salmon
Salmonpink
Sand
Sanddune
Sandybrown
Sapgreen
Sapphire
Sapphireblue
SapphireCrayola
Satinsheengold
Scarlet
Schausspink
Schoolbusyellow
ScreaminGreen
Seagreen
SeagreenCrayola
Seance
Sealbrown
Seashell
Secret
Selectiveyellow
Sepia
Shadow
Shadowblue
Shamrockgreen
Sheengreen
ShimmeringBlush
ShinyShamrock
Shockingpink
ShockingpinkCrayola
Sienna
Silver
SilverCrayola
SilverMetallic
Silverchalice
Silverpink
Silversand
Sinopia
SizzlingRed
SizzlingSunrise
Skobeloff
Skyblue
SkyblueCrayola
Skymagenta
Slateblue
Slategray
Slimygreen
Smitten
Smokyblack
Snow
Solidpink
Sonicsilver
Spacecadet
Spanishbistre
Spanishblue
Spanishcarmine
Spanishgray
Spanishgreen
Spanishorange
Spanishpink
Spanishred
Spanishskyblue
Spanishviolet
Spanishviridian
Springbud
SpringFrost
Springgreen
SpringgreenCrayola
Starcommandblue
Steelblue
Steelpink
SteelTeal
Stildegrainyellow
Straw
Strawberry
StrawberryBlonde
SugarPlum
Sunglow
Sunray
Sunset
Superpink
SweetBrown
SyracuseOrange
Tan
TanCrayola
Tangerine
Tangopink
TartOrange
Taupe
Taupegray
Teagreen
Tearose
Teal
Tealblue
Telemagenta
Tennétawny
Terracotta
Thistle
Thulianpink
TickleMePink
TiffanyBlue
Timberwolf
Titaniumyellow
Tomato
Tourmaline
Tropicalrainforest
TrueBlue
TrypanBlue
Tuftsblue
Tumbleweed
Turquoise
Turquoiseblue
Turquoisegreen
Turtlegreen
Tuscan
Tuscanbrown
Tuscanred
Tuscantan
Tuscany
Twilightlavender
Tyrianpurple
UAblue
UAred
Ultramarine
Ultramarineblue
Ultrapink
Ultrared
Umber
Unbleachedsilk
UnitedNationsblue
UniversityofPennsylvaniared
Unmellowyellow
UPForestgreen
UPmaroon
Upsdellred
Uranianblue
USAFAblue
VanDykebrown
Vanilla
Vanillaice
Vegasgold
Venetianred
Verdigris
Vermilion
Vermilion
Veronica
Violet
Violetcolorwheel
Violetcrayola
VioletRYB
Violetweb
Violetblue
VioletblueCrayola
Violetred
VioletredPerBang
Viridian
Viridiangreen
Vividburgundy
Vividskyblue
Vividtangerine
Vividviolet
Volt
Warmblack
WeezyBlue
Wheat
White
Wildblueyonder
Wildorchid
WildStrawberry
Wildwatermelon
Windsortan
Wine
Winedregs
WinterSky
WintergreenDream
Wisteria
Woodbrown
Xanadu
Xanthic
Xanthous
YaleBlue
Yellow
YellowCrayola
YellowMunsell
YellowNCS
YellowPantone
Yellowprocess
YellowRYB
Yellowgreen
YellowgreenCrayola
YellowgreenColorWheel
YellowOrange
YellowOrangeColorWheel
YellowSunshine
YInMnBlue
Zaffre
Zomp
